# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_ffa19e27234b323837c7"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "NO2^+"
# neutral: "Air"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled Ko of Viehland & Mason, At. Data. Nucl. Data Tables 60 (1995) 37."
# source_family: "compiled ko of viehland & mason, at. data. nucl. data tables 60 (1995) 37."
# comment: ""
# updated: "2010-05-14 15:04:20"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_057_269_269/001_mobility.txt"
# source_file_sha256: "6489ea42250bb4d6f0aac9f5717b9aa0dd1146188c39c25fa4a82ed9477d902c"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e+00,5.860137228793e+21
6.000000000000e+00,5.860137228793e+21
8.000000000000e+00,5.886653686842e+21
1.000000000000e+01,5.886653686842e+21
1.200000000000e+01,5.886653686842e+21
1.500000000000e+01,5.913170144891e+21
2.000000000000e+01,5.939686602940e+21
2.500000000000e+01,5.966203060988e+21
3.000000000000e+01,6.019235977086e+21
3.500000000000e+01,6.045752435135e+21
4.000000000000e+01,6.098785351233e+21
5.000000000000e+01,6.204851183428e+21
6.000000000000e+01,6.337433473672e+21
7.000000000000e+01,6.470015763916e+21
8.000000000000e+01,6.629114512209e+21
1.000000000000e+02,6.947312008795e+21
1.200000000000e+02,7.212476589284e+21
1.400000000000e+02,7.424608253674e+21
1.700000000000e+02,7.504157627821e+21
2.000000000000e+02,7.451124711723e+21
